# Sine sweep: each joint follows q = offset + A*sin(2*pi*t/T) * ramp(t).
# Units: radians. Generated by scripts/make_example_trajectories.py.
t,j1,j2,j3,j4,j5,j6
2.120,0.653552,0.092361,0.345386,-0.789411,0.420206,0.974858
2.130,0.657711,0.087079,0.340214,-0.789522,0.439198,0.961425
2.140,0.661820,0.081732,0.334957,-0.789109,0.458198,0.946204
2.150,0.665875,0.076321,0.329617,-0.788167,0.477183,0.929198
2.160,0.669876,0.070849,0.324197,-0.786690,0.496133,0.910414
2.170,0.673822,0.065318,0.318698,-0.784672,0.515027,0.889859
2.180,0.677712,0.059730,0.313125,-0.782108,0.533843,0.867548
2.190,0.681544,0.054086,0.307479,-0.778994,0.552559,0.843496
2.200,0.685318,0.048390,0.301763,-0.775325,0.571154,0.817723
2.210,0.689033,0.042643,0.295980,-0.771098,0.589607,0.790251
2.220,0.692687,0.036847,0.290132,-0.766308,0.607894,0.761107
2.230,0.696280,0.031006,0.284223,-0.760954,0.625994,0.730321
2.240,0.699810,0.025121,0.278256,-0.755032,0.643885,0.697925
2.250,0.703276,0.019194,0.272233,-0.748540,0.661546,0.663957
2.260,0.706678,0.013229,0.266157,-0.741477,0.678955,0.628455
2.270,0.710014,0.007226,0.260032,-0.733841,0.696088,0.591462
2.280,0.713284,0.001190,0.253860,-0.725631,0.712926,0.553025
2.290,0.716486,-0.004877,0.247645,-0.716846,0.729447,0.513194
2.300,0.719619,-0.010974,0.241391,-0.707488,0.745628,0.472019
2.310,0.722683,-0.017096,0.235099,-0.697556,0.761450,0.429557
2.320,0.725676,-0.023243,0.228774,-0.687051,0.776890,0.385866
2.330,0.728598,-0.029410,0.222418,-0.675975,0.791928,0.341008
2.340,0.731447,-0.035596,0.216036,-0.664329,0.806545,0.295045
2.350,0.734223,-0.041798,0.209630,-0.652116,0.820719,0.248046
2.360,0.736924,-0.048013,0.203203,-0.639339,0.834431,0.200078
2.370,0.739551,-0.054237,0.196761,-0.626000,0.847662,0.151215
2.380,0.742101,-0.060469,0.190305,-0.612105,0.860392,0.101529
2.390,0.744574,-0.066706,0.183839,-0.597656,0.872604,0.051098
2.400,0.746969,-0.072945,0.177367,-0.582659,0.884278,0.000000
2.410,0.749286,-0.079182,0.170893,-0.567118,0.895398,-0.051685
2.420,0.751523,-0.085416,0.164420,-0.551040,0.905946,-0.103873
2.430,0.753680,-0.091643,0.157951,-0.534430,0.915905,-0.156482
2.440,0.755756,-0.097860,0.151491,-0.517295,0.925260,-0.209425
2.450,0.757749,-0.104064,0.145042,-0.499641,0.933995,-0.262614
2.460,0.759660,-0.110253,0.138609,-0.481478,0.942096,-0.315962
2.470,0.761487,-0.116423,0.132195,-0.462811,0.949548,-0.369379
2.480,0.763230,-0.122572,0.125804,-0.443651,0.956337,-0.422774
2.490,0.764888,-0.128697,0.119440,-0.424005,0.962452,-0.476055
2.500,0.766460,-0.134794,0.113106,-0.403882,0.967878,-0.529130
2.510,0.767945,-0.140861,0.106806,-0.383294,0.972606,-0.581907
2.520,0.769343,-0.146895,0.100545,-0.362249,0.976625,-0.634292
2.530,0.770654,-0.152892,0.094324,-0.340758,0.979924,-0.686192
2.540,0.771875,-0.158850,0.088149,-0.318833,0.982495,-0.737514
2.550,0.773008,-0.164766,0.082023,-0.296484,0.984329,-0.788165
2.560,0.774050,-0.170637,0.075950,-0.273725,0.985418,-0.838052
2.570,0.775002,-0.176459,0.069933,-0.250566,0.985757,-0.887083
2.580,0.775863,-0.182230,0.063977,-0.227020,0.985338,-0.935166
2.590,0.776632,-0.187948,0.058084,-0.203102,0.984158,-0.982210
2.600,0.777309,-0.193607,0.052260,-0.178823,0.982212,-1.028127
2.610,0.777893,-0.199207,0.046507,-0.154198,0.979496,-1.072826
2.620,0.778384,-0.204744,0.040829,-0.129242,0.976009,-1.116223
2.630,0.778780,-0.210215,0.035229,-0.103968,0.971749,-1.158230
2.640,0.779082,-0.215617,0.029713,-0.078391,0.966716,-1.198764
2.650,0.779290,-0.220947,0.024282,-0.052527,0.960910,-1.237743
2.660,0.779402,-0.226203,0.018942,-0.026392,0.954332,-1.275088
2.670,0.779418,-0.231380,0.013694,0.000000,0.946985,-1.310721
2.680,0.779337,-0.236478,0.008544,0.026631,0.938871,-1.344566
2.690,0.779160,-0.241492,0.003495,0.053486,0.929996,-1.376551
2.700,0.778886,-0.246420,-0.001451,0.080547,0.920363,-1.406605
2.710,0.778514,-0.251259,-0.006289,0.107797,0.909980,-1.434662
2.720,0.778045,-0.256006,-0.011015,0.135220,0.898853,-1.460658
2.730,0.777477,-0.260659,-0.015627,0.162797,0.886990,-1.484531
2.740,0.776811,-0.265215,-0.020121,0.190511,0.874399,-1.506223
2.750,0.776046,-0.269670,-0.024494,0.218344,0.861091,-1.525680
2.760,0.775181,-0.274023,-0.028741,0.246278,0.847077,-1.542852
2.770,0.774218,-0.278271,-0.032861,0.274294,0.832367,-1.557689
2.780,0.773154,-0.282411,-0.036849,0.302373,0.816974,-1.570150
2.790,0.771991,-0.286441,-0.040703,0.330498,0.800912,-1.580194
2.800,0.770727,-0.290358,-0.044419,0.358649,0.784195,-1.587785
2.810,0.769363,-0.294159,-0.047994,0.386807,0.766839,-1.592892
2.820,0.767899,-0.297843,-0.051425,0.414953,0.748858,-1.595487
2.830,0.766334,-0.301406,-0.054709,0.443067,0.730270,-1.595546
2.840,0.764668,-0.304846,-0.057843,0.471131,0.711093,-1.593049
2.850,0.762901,-0.308161,-0.060824,0.499124,0.691345,-1.587984
2.860,0.761033,-0.311349,-0.063649,0.527028,0.671046,-1.580337
2.870,0.759064,-0.314407,-0.066315,0.554823,0.650215,-1.570104
2.880,0.756994,-0.317334,-0.068820,0.582488,0.628873,-1.557283
2.890,0.754823,-0.320126,-0.071160,0.610005,0.607042,-1.541876
2.900,0.752550,-0.322782,-0.073334,0.637354,0.584743,-1.523891
2.910,0.750176,-0.325300,-0.075338,0.664516,0.562001,-1.503340
2.920,0.747701,-0.327677,-0.077171,0.691470,0.538838,-1.480240
2.930,0.745125,-0.329913,-0.078828,0.718197,0.515279,-1.454610
2.940,0.742447,-0.332004,-0.080309,0.744677,0.491348,-1.426478
2.950,0.739669,-0.333949,-0.081611,0.770892,0.467071,-1.395872
2.960,0.736789,-0.335746,-0.082732,0.796822,0.442474,-1.362827
2.970,0.733809,-0.337394,-0.083668,0.822447,0.417584,-1.327383
2.980,0.730728,-0.338890,-0.084419,0.847749,0.392426,-1.289582
2.990,0.727546,-0.340233,-0.084982,0.872708,0.367029,-1.249473
3.000,0.724264,-0.341421,-0.085355,0.897306,0.341421,-1.207107
3.010,0.720882,-0.342454,-0.085537,0.921524,0.315630,-1.162540
3.020,0.717400,-0.343329,-0.085525,0.945343,0.289684,-1.115834
3.030,0.713818,-0.344044,-0.085317,0.968746,0.263613,-1.067052
3.040,0.710136,-0.344600,-0.084913,0.991714,0.237445,-1.016262
3.050,0.706356,-0.344993,-0.084310,1.014229,0.211211,-0.963538
3.060,0.702476,-0.345224,-0.083507,1.036274,0.184939,-0.908955
3.070,0.698498,-0.345291,-0.082503,1.057831,0.158660,-0.852592
3.080,0.694422,-0.345192,-0.081295,1.078883,0.132405,-0.794534
3.090,0.690247,-0.344927,-0.079884,1.099414,0.106202,-0.734866
3.100,0.685975,-0.344495,-0.078267,1.119407,0.080084,-0.673678
3.110,0.681606,-0.343895,-0.076444,1.138846,0.054079,-0.611064
3.120,0.677141,-0.343126,-0.074413,1.157714,0.028218,-0.547119
3.130,0.672579,-0.342188,-0.072174,1.175997,0.002532,-0.481941
3.140,0.667921,-0.341079,-0.069726,1.193680,-0.022949,-0.415633
3.150,0.663167,-0.339798,-0.067068,1.210746,-0.048195,-0.348298
3.160,0.658319,-0.338347,-0.064199,1.227183,-0.073176,-0.280042
3.170,0.653377,-0.336723,-0.061119,1.242975,-0.097862,-0.210973
3.180,0.648340,-0.334926,-0.057828,1.258110,-0.122223,-0.141202
3.190,0.643211,-0.332957,-0.054324,1.272574,-0.146230,-0.070839
3.200,0.637988,-0.330815,-0.050608,1.286354,-0.169853,-0.000000
3.210,0.632674,-0.328499,-0.046679,1.299439,-0.193065,0.071202
3.220,0.627267,-0.326009,-0.042538,1.311815,-0.215836,0.142650
3.230,0.621770,-0.323346,-0.038184,1.323472,-0.238139,0.214228
3.240,0.616183,-0.320510,-0.033617,1.334399,-0.259945,0.285818
3.250,0.610506,-0.317500,-0.028838,1.344585,-0.281228,0.357302
3.260,0.604740,-0.314316,-0.023846,1.354021,-0.301962,0.428561
3.270,0.598886,-0.310960,-0.018643,1.362696,-0.322119,0.499476
3.280,0.592944,-0.307430,-0.013228,1.370602,-0.341674,0.569929
3.290,0.586916,-0.303728,-0.007602,1.377730,-0.360603,0.639801
3.300,0.580801,-0.299854,-0.001765,1.384073,-0.378881,0.708975
3.310,0.574601,-0.295808,0.004281,1.389623,-0.396484,0.777333
3.320,0.568317,-0.291592,0.010536,1.394373,-0.413390,0.844759
3.330,0.561949,-0.287205,0.016998,1.398317,-0.429576,0.911139
3.340,0.555498,-0.282649,0.023668,1.401449,-0.445021,0.976357
3.350,0.548965,-0.277923,0.030544,1.403764,-0.459704,1.040303
3.360,0.542351,-0.273030,0.037625,1.405258,-0.473605,1.102865
3.370,0.535656,-0.267970,0.044908,1.405926,-0.486706,1.163936
3.380,0.528882,-0.262744,0.052395,1.405764,-0.498987,1.223408
3.390,0.522030,-0.257353,0.060081,1.404771,-0.510433,1.281178
3.400,0.515099,-0.251799,0.067967,1.402943,-0.521026,1.337144
3.410,0.508093,-0.246082,0.076051,1.400279,-0.530751,1.391207
3.420,0.501010,-0.240203,0.084330,1.396777,-0.539593,1.443271
3.430,0.493853,-0.234165,0.092803,1.392438,-0.547540,1.493245
3.440,0.486622,-0.227969,0.101468,1.387262,-0.554578,1.541037
3.450,0.479318,-0.221616,0.110324,1.381248,-0.560697,1.586563
3.460,0.471942,-0.215107,0.119367,1.374399,-0.565885,1.629739
3.470,0.464495,-0.208445,0.128597,1.366715,-0.570134,1.670487
3.480,0.456979,-0.201631,0.138010,1.358200,-0.573434,1.708732
3.490,0.449395,-0.194667,0.147604,1.348857,-0.575780,1.744403
3.500,0.441742,-0.187554,0.157377,1.338689,-0.577164,1.777433
3.510,0.434023,-0.180295,0.167327,1.327700,-0.577582,1.807760
3.520,0.426239,-0.172892,0.177450,1.315896,-0.577029,1.835327
3.530,0.418390,-0.165346,0.187745,1.303281,-0.575503,1.860079
3.540,0.410478,-0.157660,0.198208,1.289863,-0.573002,1.881968
3.550,0.402505,-0.149835,0.208837,1.275646,-0.569526,1.900950
3.560,0.394470,-0.141875,0.219629,1.260639,-0.565075,1.916985
3.570,0.386376,-0.133782,0.230580,1.244849,-0.559651,1.930041
3.580,0.378223,-0.125557,0.241688,1.228285,-0.553256,1.940086
3.590,0.370012,-0.117203,0.252950,1.210956,-0.545894,1.947098
3.600,0.361746,-0.108722,0.264362,1.192870,-0.537571,1.951057
3.610,0.353424,-0.100118,0.275921,1.174038,-0.528293,1.951948
3.620,0.345049,-0.091393,0.287624,1.154471,-0.518067,1.949764
3.630,0.336622,-0.082548,0.299467,1.134180,-0.506901,1.944500
3.640,0.328143,-0.073588,0.311447,1.113176,-0.494805,1.936159
3.650,0.319614,-0.064515,0.323561,1.091471,-0.481789,1.924747
3.660,0.311036,-0.055331,0.335804,1.069078,-0.467866,1.910277
3.670,0.302411,-0.046039,0.348174,1.046011,-0.453048,1.892765
3.680,0.293740,-0.036643,0.360666,1.022282,-0.437348,1.872234
3.690,0.285024,-0.027145,0.373276,0.997907,-0.420783,1.848712
3.700,0.276264,-0.017548,0.386001,0.972899,-0.403366,1.822232
3.710,0.267463,-0.007855,0.398837,0.947275,-0.385117,1.792832
3.720,0.258620,0.001931,0.411780,0.921049,-0.366052,1.760555
3.730,0.249737,0.011806,0.424825,0.894237,-0.346190,1.725448
3.740,0.240817,0.021768,0.437969,0.866857,-0.325551,1.687565
3.750,0.231859,0.031813,0.451208,0.838924,-0.304156,1.646963
3.760,0.222866,0.041938,0.464537,0.810457,-0.282027,1.603704
3.770,0.213839,0.052140,0.477952,0.781472,-0.259186,1.557856
3.780,0.204779,0.062415,0.491449,0.751989,-0.235656,1.509489
3.790,0.195687,0.072761,0.505024,0.722024,-0.211462,1.458680
3.800,0.186566,0.083173,0.518672,0.691599,-0.186629,1.405508
3.810,0.177416,0.093648,0.532389,0.660730,-0.161183,1.350058
3.820,0.168238,0.104184,0.546170,0.629439,-0.135149,1.292417
3.830,0.159035,0.114776,0.560011,0.597744,-0.108556,1.232678
3.840,0.149807,0.125421,0.573907,0.565666,-0.081431,1.170936
3.850,0.140556,0.136115,0.587855,0.533225,-0.053803,1.107290
3.860,0.131284,0.146855,0.601848,0.500442,-0.025701,1.041842
